x,y,u
7.812500e-02,7.812500e-03,5.963107e-03
8.203125e-02,7.812500e-03,6.254795e-03
8.593750e-02,7.812500e-03,6.545541e-03
8.984375e-02,7.812500e-03,6.835301e-03
9.375000e-02,7.812500e-03,7.124032e-03
9.765625e-02,7.812500e-03,7.411690e-03
1.015625e-01,7.812500e-03,7.698232e-03
1.054688e-01,7.812500e-03,7.983614e-03
1.093750e-01,7.812500e-03,8.267795e-03
1.132812e-01,7.812500e-03,8.550730e-03
1.171875e-01,7.812500e-03,8.832377e-03
1.210938e-01,7.812500e-03,9.112694e-03
1.250000e-01,7.812500e-03,9.391639e-03
1.289062e-01,7.812500e-03,9.669170e-03
1.328125e-01,7.812500e-03,9.945245e-03
1.367188e-01,7.812500e-03,1.021982e-02
1.406250e-01,7.812500e-03,1.049286e-02
1.445312e-01,7.812500e-03,1.076432e-02
1.484375e-01,7.812500e-03,1.103415e-02
1.523438e-01,7.812500e-03,1.130233e-02
1.562500e-01,7.812500e-03,1.156880e-02
1.601562e-01,7.812500e-03,1.183353e-02
1.640625e-01,7.812500e-03,1.209648e-02
1.679688e-01,7.812500e-03,1.235761e-02
1.718750e-01,7.812500e-03,1.261687e-02
1.757812e-01,7.812500e-03,1.287424e-02
1.796875e-01,7.812500e-03,1.312966e-02
1.835938e-01,7.812500e-03,1.338311e-02
1.875000e-01,7.812500e-03,1.363455e-02
1.914062e-01,7.812500e-03,1.388393e-02
1.953125e-01,7.812500e-03,1.413122e-02
1.992188e-01,7.812500e-03,1.437638e-02
2.031250e-01,7.812500e-03,1.461938e-02
2.070312e-01,7.812500e-03,1.486017e-02
2.109375e-01,7.812500e-03,1.509873e-02
2.148438e-01,7.812500e-03,1.533501e-02
2.187500e-01,7.812500e-03,1.556899e-02
2.226562e-01,7.812500e-03,1.580062e-02
2.265625e-01,7.812500e-03,1.602987e-02
2.304688e-01,7.812500e-03,1.625670e-02
2.343750e-01,7.812500e-03,1.648109e-02
2.382812e-01,7.812500e-03,1.670299e-02
2.421875e-01,7.812500e-03,1.692238e-02
2.460938e-01,7.812500e-03,1.713923e-02
2.500000e-01,7.812500e-03,1.735349e-02
2.539062e-01,7.812500e-03,1.756513e-02
2.578125e-01,7.812500e-03,1.777414e-02
2.617188e-01,7.812500e-03,1.798046e-02
2.656250e-01,7.812500e-03,1.818408e-02
2.695312e-01,7.812500e-03,1.838496e-02
2.734375e-01,7.812500e-03,1.858307e-02
2.773438e-01,7.812500e-03,1.877838e-02
2.812500e-01,7.812500e-03,1.897086e-02
2.851562e-01,7.812500e-03,1.916049e-02
2.890625e-01,7.812500e-03,1.934723e-02
2.929688e-01,7.812500e-03,1.953106e-02
2.968750e-01,7.812500e-03,1.971195e-02
3.007812e-01,7.812500e-03,1.988987e-02
3.046875e-01,7.812500e-03,2.006479e-02
3.085938e-01,7.812500e-03,2.023669e-02
3.125000e-01,7.812500e-03,2.040554e-02
3.164062e-01,7.812500e-03,2.057132e-02
3.203125e-01,7.812500e-03,2.073400e-02
3.242188e-01,7.812500e-03,2.089356e-02
3.281250e-01,7.812500e-03,2.104998e-02
3.320312e-01,7.812500e-03,2.120322e-02
3.359375e-01,7.812500e-03,2.135327e-02
3.398438e-01,7.812500e-03,2.150011e-02
3.437500e-01,7.812500e-03,2.164370e-02
3.476562e-01,7.812500e-03,2.178404e-02
3.515625e-01,7.812500e-03,2.192110e-02
3.554688e-01,7.812500e-03,2.205485e-02
3.593750e-01,7.812500e-03,2.218529e-02
3.632812e-01,7.812500e-03,2.231238e-02
3.671875e-01,7.812500e-03,2.243611e-02
3.710938e-01,7.812500e-03,2.255647e-02
3.750000e-01,7.812500e-03,2.267342e-02
3.789062e-01,7.812500e-03,2.278697e-02
3.828125e-01,7.812500e-03,2.289708e-02
3.867188e-01,7.812500e-03,2.300374e-02
3.906250e-01,7.812500e-03,2.310694e-02
3.945312e-01,7.812500e-03,2.320666e-02
3.984375e-01,7.812500e-03,2.330288e-02
4.023438e-01,7.812500e-03,2.339560e-02
4.062500e-01,7.812500e-03,2.348479e-02
4.101562e-01,7.812500e-03,2.357044e-02
4.140625e-01,7.812500e-03,2.365255e-02
4.179688e-01,7.812500e-03,2.373109e-02
4.218750e-01,7.812500e-03,2.380606e-02
4.257812e-01,7.812500e-03,2.387744e-02
4.296875e-01,7.812500e-03,2.394523e-02
4.335938e-01,7.812500e-03,2.400941e-02
4.375000e-01,7.812500e-03,2.406998e-02
4.414062e-01,7.812500e-03,2.412692e-02
4.453125e-01,7.812500e-03,2.418023e-02
4.492188e-01,7.812500e-03,2.422989e-02
4.531250e-01,7.812500e-03,2.427591e-02
4.570312e-01,7.812500e-03,2.431827e-02
4.609375e-01,7.812500e-03,2.435697e-02
4.648438e-01,7.812500e-03,2.439200e-02
4.687500e-01,7.812500e-03,2.442336e-02
4.726562e-01,7.812500e-03,2.445104e-02
4.765625e-01,7.812500e-03,2.447504e-02
4.804688e-01,7.812500e-03,2.449535e-02
4.843750e-01,7.812500e-03,2.451198e-02
4.882812e-01,7.812500e-03,2.452491e-02
4.921875e-01,7.812500e-03,2.453415e-02
4.960938e-01,7.812500e-03,2.453969e-02
